ensembl_tok	parent_category
3_prime_UTR_variant	non-coding
5_prime_UTR_variant	non-coding
intron_variant	non-coding
downstream_gene_variant	non-coding
intergenic_variant	non-coding
upstream_gene_variant	non-coding
NMD_transcript_variant	non-coding
regulatory_region_ablation	non-coding
regulatory_region_variant	non-coding
regulatory_region_amplification	non-coding
TFBS_ablation	non-coding
TFBS_amplification	non-coding
TF_binding_site_variant	non-coding
transcript_ablation	high-impact
transcript_amplification	high-impact
non_coding_transcript_exon_variant	non-coding
non_coding_transcript_variant	non-coding
mature_miRNA_variant	non-coding
start_lost	stop
stop_gained	stop
stop_lost	stop
splice_acceptor_variant	splice
splice_donor_variant	splice
splice_region_variant	splice
frameshift_variant	frameshift
coding_sequence_variant	coding
incomplete_terminal_codon_variant	coding
inframe_deletion	coding
inframe_insertion	coding
missense_variant	coding
protein_altering_variant	coding
synonymous_variant	coding
stop_retained_variant	coding
feature_elongation	low-impact
feature_truncation	low-impact
